type,n,m,t,otps,cmps,iters
max,120,305,37,1,2,2
min,120,305,37,1,2,2
rnd,120,305,37,1,2,2
max,120,305,130,13,5,16
min,120,305,130,13,5,93
rnd,120,305,130,13,5,33
max,120,305,67,1,2,2
min,120,305,67,1,2,2
rnd,120,305,67,1,2,2
max,120,305,117,2,2,3
min,120,305,117,2,2,3
rnd,120,305,117,2,2,3
max,120,305,149,14,4,56
rnd,120,305,149,14,4,76
max,120,305,99,12,4,19
rnd,120,305,99,12,4,44
max,120,305,82,3,2,4
min,120,305,82,3,2,4
rnd,120,305,82,3,2,4
max,120,305,99,3,2,4
min,120,305,99,3,2,4
rnd,120,305,99,3,2,4
max,120,305,102,11,4,12
min,120,305,102,11,4,29
rnd,120,305,102,11,4,12
max,120,305,35,1,2,2
min,120,305,35,1,2,2
rnd,120,305,35,1,2,2
max,120,305,35,2,2,3
min,120,305,35,2,2,3
rnd,120,305,35,2,2,3
max,120,305,39,1,2,2
min,120,305,39,1,2,2
rnd,120,305,39,1,2,2
max,120,305,77,11,3,12
min,120,305,77,11,3,12
rnd,120,305,77,11,3,12
max,120,305,135,4,3,5
min,120,305,135,4,3,5
rnd,120,305,135,4,3,5
max,120,305,140,2,2,3
min,120,305,140,2,2,3
rnd,120,305,140,2,2,3
max,120,305,101,3,2,4
min,120,305,101,3,2,4
rnd,120,305,101,3,2,4
max,120,305,132,2,3,3
min,120,305,132,2,3,3
rnd,120,305,132,2,3,3
max,120,305,43,1,2,2
min,120,305,43,1,2,2
rnd,120,305,43,1,2,2
max,120,305,95,6,3,11
min,120,305,95,6,3,11
rnd,120,305,95,6,3,10
max,120,305,82,9,3,10
min,120,305,82,9,3,10
rnd,120,305,82,9,3,10
max,120,305,150,25,5,78
rnd,120,305,150,25,5,106
max,120,305,127,14,4,15
min,120,305,127,14,4,17
rnd,120,305,127,14,4,15
max,120,305,121,16,6,17
min,120,305,121,16,6,29
rnd,120,305,121,16,6,24
max,120,305,127,5,2,6
min,120,305,127,5,2,6
rnd,120,305,127,5,2,6
max,120,305,138,15,4,17
