type,n,m,t,otps,cmps,iters
min,68,115,26,6,3,46
rnd,68,115,26,6,3,30
max,68,115,21,3,2,4
min,68,115,21,3,2,7
rnd,68,115,21,3,2,7
max,68,115,31,16,4,30
min,68,115,31,16,4,846
rnd,68,115,31,16,4,752
max,68,115,40,23,4,65
rnd,68,115,40,23,4,852
max,68,115,15,3,2,7
min,68,115,15,3,2,8
rnd,68,115,15,3,2,8
max,68,115,9,3,2,7
min,68,115,9,3,2,5
rnd,68,115,9,3,2,5
max,68,115,27,3,2,4
min,68,115,27,3,2,8
rnd,68,115,27,3,2,5
max,68,115,29,9,3,11
min,68,115,29,9,3,33
rnd,68,115,29,9,3,43
max,68,115,39,25,5,171
rnd,68,115,39,25,5,113
max,68,115,36,6,2,7
min,68,115,36,6,2,8
rnd,68,115,36,6,2,8
max,68,115,39,7,2,12
min,68,115,39,7,2,22
rnd,68,115,39,7,2,17
max,68,115,40,2,2,3
min,68,115,40,2,2,3
rnd,68,115,40,2,2,3
max,68,115,31,12,3,25
min,68,115,31,12,3,66
rnd,68,115,31,12,3,33
max,68,115,39,7,2,11
min,68,115,39,7,2,28
rnd,68,115,39,7,2,11
max,68,115,40,23,4,48
rnd,68,115,40,23,4,1669
max,68,115,38,18,4,159
rnd,68,115,38,18,4,396
max,68,115,29,27,3,46
min,68,115,29,27,3,494
rnd,68,115,29,27,3,145
max,68,115,23,3,2,4
min,68,115,23,3,2,8
rnd,68,115,23,3,2,8
max,68,115,10,3,2,6
min,68,115,10,3,2,6
rnd,68,115,10,3,2,6
max,68,115,30,10,3,12
min,68,115,30,10,3,91
rnd,68,115,30,10,3,41
max,68,115,34,9,2,22
min,68,115,34,9,2,36
rnd,68,115,34,9,2,24
max,68,115,23,7,2,12
min,68,115,23,7,2,9
rnd,68,115,23,7,2,10
max,68,115,29,8,3,44
min,68,115,29,8,3,154
rnd,68,115,29,8,3,55
max,68,115,36,3,2,5
min,68,115,36,3,2,7
rnd,68,115,36,3,2,5
max,68,115,33,11,3,37
min,68,115,33,11,3,119
rnd,68,115,33,11,3,76
max,68,115,28,13,3,25
min,68,115,28,13,3,80
rnd,68,115,28,13,3,39
max,68,115,36,6,2,11
min,68,115,36,6,2,36
rnd,68,115,36,6,2,19
max,68,115,35,6,2,8
min,68,115,35,6,2,30
rnd,68,115,35,6,2,34
max,68,115,32,4,2,5
min,68,115,32,4,2,8
rnd,68,115,32,4,2,5
max,68,115,40,37,4,249
rnd,68,115,40,37,4,760
max,68,115,37,38,6,731
max,68,115,27,4,2,9
min,68,115,27,4,2,16
rnd,68,115,27,4,2,9
max,68,115,29,2,2,3
min,68,115,29,2,2,4
rnd,68,115,29,2,2,3
max,68,115,33,43,3,100
rnd,68,115,33,43,3,308
max,68,115,36,7,3,8
min,68,115,36,7,3,23
rnd,68,115,36,7,3,17
max,68,115,29,8,3,30
min,68,115,29,8,3,56
rnd,68,115,29,8,3,28
max,68,115,38,26,4,112
